elo_prob1,score1,score2
0.640450829,37,0
0.420289571,34,27
0.836272126,24,44
0.530339535,23,17
0.206608258,30,7
0.291730121,23,37
0.249224224,13,21
0.413173365,10,20
0.264978233,6,28
0.885173786,23,20
0.665706569,44,7
0.440754922,23,10
0.598157674,7,33
0.522554335,24,0
0.473939665,24,30
0.340625495,13,17
0.608651487,34,14
0.470783295,14,24
0.482291895,51,45
0.64547892,14,33
0.604000412,20,3
0.688309402,45,14
0.487102629,34,3
0.674918966,14,17
0.630687384,31,28
0.624965596,30,17
0.474397518,31,17
0.660841705,14,9
0.60049656,20,27
0.555662147,24,17
0.363973738,13,7
0.583896778,10,15
0.681785352,38,24
0.777203945,38,13
0.625288004,15,9
0.503639459,34,24
0.454256455,31,6
0.58176796,17,14
0.790556108,19,14
0.499586974,31,18
0.293745503,13,17
0.601609107,9,10
0.297818602,21,14
0.608863996,31,14
0.583664592,14,16
0.719411496,7,20
0.767863257,34,7
0.553217639,11,19
0.670902588,38,14
0.675569067,16,14
0.70158276,20,27
0.566819,41,7
0.430520082,27,30
0.585522428,28,14
0.25834031,32,35
0.441918752,15,10
0.746998877,38,13
0.683284624,10,14
0.33483297,22,25
0.48939387,23,31
0.421431663,13,38
0.56767109,10,29
0.655026169,13,27
0.744011854,38,30
0.579954452,31,10
0.760547723,24,23
0.861221452,24,10
0.40259111,13,27
0.337521678,27,20
0.781440017,24,17
0.584265961,7,20
0.722057812,24,27
0.429904851,3,28
0.388470154,30,16
0.45332046,20,17
0.663938967,41,10
0.773120729,16,14
0.436043947,20,3
0.730589995,20,26
0.405471414,23,20
0.799785316,12,17
0.509514284,17,3
0.661498105,14,17
0.326380726,14,38
0.352602832,24,31
0.792565812,16,14
0.303883407,31,28
0.894293308,28,26
0.499339446,14,41
0.277501091,35,27
0.760292884,19,9
0.554156504,26,36
0.677418452,21,24
0.387664995,30,20
0.372026468,16,13
0.40744065,24,27
0.366473345,10,20
0.533823608,6,23
0.653155878,27,34
0.478491307,44,6
0.737869721,31,17
0.673082434,10,34
0.70382798,29,20
0.403110405,6,31
0.835056292,28,20
0.282889151,20,17
0.729720073,20,23
0.591056117,24,21
0.546094581,31,17
0.372914494,24,27
0.746689782,20,23
0.663493132,35,31
0.332646748,20,24
0.618095062,17,9
0.825292052,28,10
0.586564215,23,20
0.461971556,3,30
0.69144129,39,32
0.851389851,17,30
0.464565154,22,10
0.59482274,23,20
0.673826797,14,17
0.598450973,28,24
0.41732611,22,23
0.717896098,18,17
0.697243015,14,59
0.477320718,20,23
0.833153365,37,34
0.589308784,37,19
0.612769454,42,20
0.568387215,35,41
0.720461895,17,35
0.651603696,35,38
0.554493549,33,3
0.458873972,20,10
0.46668211,33,25
0.475108063,16,24
0.706447925,28,18
0.713077676,13,10
0.588369441,14,22
0.380087124,37,25
0.532230295,20,10
0.713122429,0,9
0.724887368,30,17
0.704902011,26,10
0.487121325,26,24
0.766737797,45,7
0.421487808,19,22
0.392559913,7,41
0.661251867,27,24
0.737044968,27,21
0.320614808,34,14
0.229887017,20,23
0.571721076,23,20
0.540791535,23,29
0.330304699,3,34
0.391521292,21,27
0.56057417,26,21
0.676605301,18,36
0.806764549,23,17
0.544655901,27,13
0.678263192,23,20
0.610006722,14,12
0.466385547,49,29
0.683100226,31,16
0.46914289,29,17
0.776020531,20,33
0.388569987,20,26
0.616686322,26,39
0.548777187,31,24
0.394721206,28,59
0.59226468,0,16
0.262289527,17,34
0.72716254,35,3
0.43708892,3,31
0.588623156,31,28
0.591236985,24,20
0.284492907,13,37
0.548234044,0,21
0.779897479,35,19
0.605725683,31,13
0.801414624,34,19
0.773129816,16,19
0.658217706,27,17
0.684085089,31,49
0.803634178,30,27
0.779368369,35,14
0.191744769,24,45
0.865789949,26,10
0.409063548,27,30
0.563570979,24,42
0.491548879,20,0
0.660657183,24,20
0.522539973,13,17
0.330020804,16,19
0.725115758,24,23
0.658022132,33,36
0.728324753,17,10
0.555348022,20,17
0.512179704,31,26
0.544597367,17,33
0.652324708,14,36
0.579557545,6,27
0.727906532,34,24
0.669155178,10,13
0.816849866,13,28
0.656051753,31,14
0.704632518,35,38
0.586567007,6,19
0.243317646,20,24
0.755889775,31,7
0.62879889,6,17
0.812013821,34,16
0.733275831,10,6
0.248677458,30,34
0.71869748,38,14
0.401914278,24,28
0.621694841,10,13
0.582951018,45,3
0.466822519,28,30
0.538285976,43,13
0.686709089,31,0
0.449317752,13,6
0.171871947,7,3
0.452839748,27,30
0.859891036,31,13
0.453364684,7,36
0.63499287,38,31
0.469098447,16,17
0.749564233,6,10
0.616022065,40,21
